Dependency Name,Repository,GitHub Star,GitHub Forks,GitHub Watchers,Abondoned,Code Coverage %,Linters,Dependenats,NPM Stars,Maintainers,Contributors,Dependencies,License,Total Issues,Open Issues,Security Advisories
ember-cli-dependency-checker,https://github.com/quaertym/ember-cli-dependency-checker,38,29,4,FALSE,,2,10,2,4,0,5,MIT,121,19,0
ember-cli-qunit,https://github.com/ember-cli/ember-cli-qunit,29,56,11,FALSE,,2,9,1,6,3,2,MIT,233,2,1
socket.io,https://github.com/socketio/socket.io,54787,9918,1594,FALSE,,1,6823,794,2,4,6,MIT,3924,121,0
yosay,https://github.com/yeoman/yosay,190,43,18,FALSE,,2,6184,17,9,0,9,BSD-2-Clause,33,1,1
karma-firefox-launcher,https://github.com/karma-runner/karma-firefox-launcher,97,58,9,FALSE,,1,244,8,4,22,2,MIT,173,29,0
nyc,https://github.com/istanbuljs/nyc,4731,336,52,FALSE,1,2,858,107,3,4,27,ISC,1397,107,0
react-addons-test-utils,https://github.com/facebook/react,178620,178620,36193,FALSE,,0,316,15,5,0,0,MIT,,903,0
vinyl-source-stream,https://github.com/hughsk/vinyl-source-stream,332,27,3,FALSE,,0,700,97,2,0,2,MIT,30,1,0
object-assign,https://github.com/sindresorhus/object-assign,896,76,21,FALSE,,2,7135,71,3,0,0,MIT,31,0,0
winston,https://github.com/winstonjs/winston,18050,1589,221,FALSE,,1,9827,437,7,0,9,MIT,1965,429,0
node-sass,https://github.com/sass/node-sass,7903,1252,206,FALSE,0.67,2,8944,260,3,0,15,MIT,3171,163,1
handlebars,https://github.com/wycats/handlebars.js,16063,2024,456,FALSE,,2,8635,177,5,0,5,MIT,1760,114,0
ember-cli-uglify,https://github.com/ember-cli/ember-cli-uglify,19,23,8,FALSE,,1,8,0,4,0,2,MIT,292,18,0
ember-cli-app-version,https://github.com/ember-cli/ember-cli-app-version,54,41,7,FALSE,,3,11,3,4,0,2,MIT,372,13,0
jasmine-core,https://github.com/jasmine/jasmine,15240,2250,459,FALSE,,3,411,21,3,0,0,MIT,1931,56,0
co,https://github.com/tj/co,11541,805,278,FALSE,1,0,4345,233,3,0,0,MIT,331,44,0
babel-plugin-add-module-exports,https://github.com/59naga/babel-plugin-add-module-exports,734,53,10,FALSE,,2,941,47,3,0,1,MIT,100,30,0
ember-cli-babel,https://github.com/babel/ember-cli-babel,142,107,15,FALSE,,2,5658,5,5,0,27,MIT,412,45,0
mocha-lcov-reporter,https://github.com/StevenLooman/mocha-lcov-reporter,65,9,3,FALSE,,0,104,9,1,0,0,BSD-2-Clause,16,0,0
watchify,https://github.com/browserify/watchify,1776,201,24,FALSE,,0,646,128,41,0,7,MIT,383,38,0
redis,https://github.com/redis/node-redis,14466,1546,307,FALSE,0.94,0,5368,444,3,0,3,MIT,1735,105,0
less,https://github.com/less/less.js,16685,3462,678,FALSE,,1,6498,328,7,1,10,Apache-2.0,3660,164,0
superagent,https://github.com/visionmedia/superagent,15864,1292,231,FALSE,0.95,4,6385,306,10,4,11,MIT,1645,172,0
jscs,https://github.com/jscs-dev/node-jscs,5037,562,113,FALSE,0.97,3,115,99,6,0,26,MIT,2294,0,12
nodeunit,https://github.com/caolan/nodeunit,1912,388,37,FALSE,,0,183,24,2,12,2,MIT,360,132,2
file-loader,https://github.com/webpack-contrib/file-loader,1847,277,31,FALSE,0.87,3,9145,64,6,0,2,MIT,405,1,0
mongoose,https://github.com/Automattic/mongoose,23521,3287,503,FALSE,,1,7353,745,4,0,9,MIT,10931,332,0
phantomjs,https://github.com/Medium/phantomjs,1413,437,200,FALSE,,2,478,138,4,0,8,Apache-2.0,826,174,16
ejs,https://github.com/mde/ejs,5879,648,121,FALSE,,1,8435,297,1,0,1,Apache-2.0,638,110,0
tap-spec,https://github.com/scottcorgan/tap-spec,271,39,5,FALSE,,0,58,15,1,0,8,MIT,75,12,1
ember-data,https://github.com/emberjs/data,2997,2997,1313,FALSE,,3,40,7,13,0,14,MIT,,197,0
